player_name,team_name,position,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,id,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totalAppearances,touches,wasFouled,yellowCards,yellowRedCards
Miloš Kerkez,Liverpool FC,D,21,14,18.42105263,293,25,33.78378378,504,341,845,85.26740666,32,50,32,31,1,0,0,78,3,0,1,3,67,0,0,6,10,74,1,1,0.67724089,1.5586,20,0,25,0,2,3,,73,63.47826087,0,0,0,2134439,146,13,25,1,25,2103,4,8,0,0,0,0,0,0,0,0,0,286,2,0,6.625806452,0,1,0,0,0,0,0,0,1051.5,0,0,6,2,5,2,11,55,0,41,26,63.41463415,25,47,20,76,105,58.65921788,74,608,383,991,8,1,1503,23,4,0
Giorgi Mamardashvili,Liverpool FC,G,20,0,0,7,31,30.39215686,15,157,172,70.20408163,2,66.66666667,1,8,0,0,0,59,0,0,0,2,9,0,0,0,0,2,0,1,0.01036234,,1,0,0,31,0,0,-1.1724,2,66.66666667,0,3,0,2341137,73,0,0,0,8,688,0,0,0,0,0,1,0,2,0,1,0,77,0,3,6.625,0,0,7,16,11,27,1,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,40,0,0,4,66.66666667,102,72,173,245,0,0,330,2,0,0
Federico Chiesa,Liverpool FC,F,1,0,0,41,1,25,59,17,76,71.69811321,3,37.5,5,24,1,0,0,8,2,1,6,0,7,0,0,3,4,30,0,0,0.60598308,1.4086,9,0,12.5,0,2,3,,15,37.5,0,0,0,2134447,30,4,3,0,1,363,2,2,0,0,0,0,0,0,0,0,0,74,0,0,6.595652174,0,2,0,0,0,0,0,0,181.5,0,0,12,4,6,4,2,18.18181818,0,8,6,75,3,6,11,15,18,37.5,4,84,22,106,16,0,209,5,3,0
Alexander Isak,Liverpool FC,F,2,0,0,30,3,60,43,11,54,64.28571429,8,29.62962963,19,13,1,0,0,12,1,5,2,0,9,0,0,7,2,40,0,0,0.09677609,2.6518,5,0,17.64705882,0,3,4,,8,27.5862069,0,0,0,2289727,30,0,2,2,8,691,0,1,0,0,0,0,0,0,0,0,0,64,3,0,6.569230769,0,1,0,0,0,0,0,0,230.3333333,0,0,15,2,9,6,1,11.11111111,0,6,5,83.33333333,2,5,9,2,16,28.57142857,5,69,15,84,17,0,173,1,0,0
Joe Gomez,Liverpool FC,D,8,2,13.33333333,44,10,45.45454545,96,121,217,79.48717949,10,47.61904762,11,18,2,0,0,18,3,0,0,1,23,0,0,6,4,33,0,0,0.63296637,0.2268,10,0,0,0,0,2,,12,35.29411765,0,0,0,2134465,56,9,6,0,6,553,0,1,0,1,0,0,0,0,0,0,0,101,0,0,6.55,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,3,60,0,9,7,77.77777778,5,17,5,15,22,40,22,128,145,273,3,0,418,0,2,0
Trey Nyoni,Liverpool FC,M,0,0,0,3,0,0,6,5,11,91.66666667,0,0,0,5,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0.01412509,0.3697,0,0,0,0,0,0,,0,0,0,0,0,2545552,1,0,1,0,0,29,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,5,12,1,0,18,0,0,0
Youri Tielemans,Aston Villa,M,40,11,26.19047619,262,54,65.85365854,524,329,853,84.79125249,20,54.05405405,17,22,4,0,0,83,5,2,6,2,17,0,0,12,21,79,0,1,2.9489544,1.0538,25,0,0,0,0,4,,95,60.50955414,0,0,0,2135785,153,18,29,0,19,1666,1,12,0,0,0,0,0,0,0,0,0,230,7,0,7.159090909,0,0,0,0,0,0,0,0,0,0,0,8,11,9,4,9,64.28571429,0,52,31,59.61538462,29,77,14,42,115,59.27835052,82,637,369,1006,19,1,1323,35,0,0
Boubacar Kamara,Aston Villa,M,37,0,0,198,31,67.39130435,392,330,722,88.26405868,36,64.28571429,20,18,3,0,0,65,0,2,3,2,20,0,0,15,19,88,0,3,0.86047139,0.4904,17,0,14.28571429,0,1,4,,80,54.05405405,0,0,0,2135769,96,18,15,1,17,1418,0,8,0,0,0,0,0,0,0,0,0,145,5,0,7.122222222,0,0,0,0,0,0,0,0,1418,0,0,5,2,0,4,14,45.16129032,0,37,17,45.94594595,15,61,31,2,116,56.8627451,46,461,357,818,7,0,1048,30,5,0
Amadou Onana,Aston Villa,M,29,0,0,139,42,64.61538462,349,385,734,87.27705113,45,66.17647059,23,24,0,0,0,72,0,4,4,3,58,0,0,10,11,69,1,1,0.70305997,1.7146,20,0,10.52631579,0,2,2,,76,62.29508197,1,0,1,2135760,107,25,7,0,21,1759,0,17,0,0,0,0,0,0,0,0,0,145,5,0,7.05,0,1,0,0,0,0,0,0,879.5,0,0,10,9,8,7,7,53.84615385,0,47,29,61.70212766,7,52,13,0,121,63.68421053,65,427,414,841,19,1,1138,25,3,0
Ezri Konsa,Aston Villa,D,30,1,20,170,54,58.06451613,637,1242,1879,95.28397566,31,58.49056604,22,32,0,0,0,100,1,1,4,8,115,0,1,6,4,47,1,1,0.56455038,1.2515,11,0,0,25,0,0,,60,70.58823529,0,0,1,2135747,93,23,5,0,32,2856,0,27,0,0,0,0,0,0,0,0,0,123,3,0,6.9875,1,0,0,0,0,0,0,0,0,0,0,11,0,5,2,7,63.63636364,0,21,7,33.33333333,5,73,11,5,91,65.94202899,93,695,1277,1972,11,0,2293,34,0,0
